iter	Logloss
0	0.6363751308
1	0.6035765353
2	0.571614833
3	0.5537737825
4	0.5340476943
5	0.5221701468
6	0.5096419633
7	0.5011450021
8	0.4894660372
9	0.4818042217
10	0.4765701138
11	0.4721567353
12	0.4621599818
13	0.4576267796
14	0.4552996427
15	0.4510112989
16	0.4480839829
17	0.4464514485
18	0.4440247705
19	0.4389747666
20	0.4378901133
21	0.4357685175
22	0.4345840735
23	0.4327531748
24	0.4309824688
25	0.4285856844
26	0.4274592175
27	0.4268964834
28	0.4255379207
29	0.4239247328
30	0.4228949986
31	0.4218252295
32	0.4210009741
33	0.4171383161
34	0.4160430846
35	0.4147937673
36	0.4138706262
37	0.4120167613
38	0.4112755399
39	0.4103262186
40	0.4097661367
41	0.4085240276
42	0.4074255508
43	0.4066295351
44	0.4057968545
45	0.4049457636
46	0.4037661562
47	0.4032744425
48	0.4027415082
49	0.4019483009
50	0.4015590925
51	0.3996456591
52	0.3992065867
53	0.3986304348
54	0.3981581612
55	0.3975903096
56	0.3970452993
57	0.3964131673
58	0.395887878
59	0.3953542885
60	0.3949487604
61	0.3941471279
62	0.3925955681
63	0.3918866741
64	0.3903447251
65	0.3899676551
66	0.3895568224
67	0.3892386657
68	0.388878758
69	0.3878334841
70	0.3874975411
71	0.3871816623
72	0.386373477
73	0.3857807869
74	0.3851257199
75	0.3847600083
76	0.3841763674
77	0.3836453366
78	0.383021068
79	0.3826090495
80	0.3823056211
81	0.3819471488
82	0.3817617342
83	0.3809647823
84	0.3804624593
85	0.3800783372
86	0.3795601312
87	0.3791534174
88	0.3784713277
89	0.3779243828
90	0.3773482933
91	0.3769201111
92	0.3761983922
93	0.375897429
94	0.3750484911
95	0.3745968434
96	0.374169847
97	0.373669833
98	0.373403007
99	0.3731263206
100	0.3727397334
101	0.3721179923
102	0.3717756837
103	0.3713265011
104	0.3709450626
105	0.3705125118
106	0.3703193274
107	0.3698363509
108	0.3695481813
109	0.3691148504
110	0.3684484564
111	0.3680272639
112	0.3676172424
113	0.3673675475
114	0.3671888106
115	0.3667181284
116	0.3663735107
117	0.3659311306
118	0.3655042902
119	0.365240491
120	0.3649121306
121	0.3646715784
122	0.364371957
123	0.3640291491
124	0.363796554
125	0.3633171971
126	0.3632587831
127	0.3632274854
128	0.3628591214
129	0.3625080132
130	0.3621015178
131	0.3617650444
132	0.3614797456
133	0.3611028628
134	0.3606119292
135	0.3603581154
136	0.3600128111
137	0.3597336908
138	0.3594849007
139	0.359043956
140	0.3587799072
141	0.3584899902
142	0.3580810609
143	0.3578832271
144	0.3575761167
145	0.3571505244
146	0.3569108772
147	0.3566698882
148	0.3563889892
149	0.3561115538
150	0.3557596343
151	0.355154057
152	0.3549201825
153	0.3547159519
154	0.3545459521
155	0.3542927935
156	0.3539805032
157	0.3536884331
158	0.3533410694
159	0.353007654
160	0.3528132838
161	0.3524788386
162	0.3521848339
163	0.3519323618
164	0.3515997577
165	0.351094751
166	0.3508438079
167	0.3504676741
168	0.3502639427
169	0.3499881924
170	0.3496072531
171	0.3494033033
172	0.3490729771
173	0.3487626838
174	0.3486733778
175	0.3479918497
176	0.347788056
177	0.3474356997
178	0.3468797056
179	0.3466718865
180	0.3465349006
181	0.3461267514
182	0.3457927431
183	0.3456628718
184	0.3455186466
185	0.3453486468
186	0.3451406717
187	0.3449285464
188	0.3448419863
189	0.3445851145
190	0.3442872092
191	0.3440184798
192	0.3438760332
193	0.3435652719
194	0.3431603055
195	0.3429473066
196	0.3427521563
197	0.342380079
198	0.3421933539
199	0.3419277449
