iter	Passed	Remaining
0	2	511
1	4	481
2	7	463
3	8	435
4	10	427
5	12	403
6	14	388
7	15	373
8	17	367
9	19	361
10	20	356
11	22	350
12	23	343
13	25	339
14	27	338
15	29	336
16	30	332
17	32	329
18	34	326
19	36	325
20	37	323
21	39	321
22	41	318
23	43	317
24	45	315
25	46	313
26	48	311
27	50	309
28	52	307
29	53	305
30	55	302
31	57	299
32	58	298
33	60	296
34	62	296
35	64	294
36	66	293
37	68	290
38	69	288
39	71	286
40	73	284
41	75	282
42	76	280
43	78	278
44	80	276
45	82	275
46	83	273
47	85	271
48	87	269
49	89	267
50	90	265
51	93	264
52	94	262
53	96	260
54	98	259
55	100	257
56	101	255
57	103	254
58	105	252
59	107	250
60	109	249
61	111	247
62	113	245
63	114	244
64	116	242
65	118	240
66	119	238
67	121	236
68	123	234
69	125	232
70	127	231
71	128	229
72	130	227
73	132	225
74	134	223
75	135	221
76	137	219
77	139	217
78	141	216
79	142	214
80	144	212
81	146	210
82	148	208
83	149	206
84	151	204
85	153	202
86	154	200
87	156	199
88	158	197
89	160	195
90	161	193
91	163	192
92	165	190
93	167	188
94	169	186
95	170	185
96	172	183
97	174	181
98	176	179
99	178	178
100	179	176
101	181	174
102	183	172
103	184	170
104	186	168
105	188	166
106	189	165
107	191	163
108	193	161
109	195	159
110	196	157
111	198	155
112	200	154
113	201	152
114	203	150
115	206	149
116	207	147
117	209	145
118	211	144
119	213	142
120	215	140
121	216	138
122	218	136
123	220	135
124	222	133
125	224	131
126	225	129
127	227	127
128	229	126
129	231	124
130	232	122
131	234	120
132	236	119
133	238	117
134	240	115
135	241	113
136	243	111
137	245	110
138	246	108
139	248	106
140	250	104
141	252	102
142	253	101
143	255	99
144	257	97
145	259	95
146	261	94
147	263	92
148	264	90
149	266	88
150	268	87
151	270	85
152	271	83
153	273	81
154	275	79
155	276	78
156	278	76
157	280	74
158	282	72
159	284	71
160	286	69
161	287	67
162	289	65
163	291	64
164	293	62
165	295	60
166	297	58
167	298	56
168	300	55
169	302	53
170	304	51
171	305	49
172	307	47
173	309	46
174	311	44
175	313	42
176	315	40
177	317	39
178	319	37
179	321	35
180	323	33
181	325	32
182	327	30
183	328	28
184	330	26
185	332	25
186	334	23
187	336	21
188	338	19
189	340	17
190	342	16
191	344	14
192	346	12
193	347	10
194	349	8
195	351	7
196	353	5
197	355	3
198	357	1
199	358	0
